UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
A6X919,D19L1_MOUSE,Protein dpy-19 homolog 1 OS=Mus musculus GN=Dpy19l1 PE=2 SV=1 - [D19L1_MOUSE],1,6,1,7,0.000,0.024,0.032,0.031,0.165,0.167,0.117,0.235,0.021,0.208,0.000,0.062,0.077,0.103,0.150,0.255,0.141,0.109,0.065,0.039,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.857,unclassified,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
B1AXP6,TOM5_MOUSE,Mitochondrial import receptor subunit TOM5 homolog OS=Mus musculus GN=Tomm5 PE=3 SV=1 - [TOM5_MOUSE],1,1,1,1,0.000,0.022,0.021,0.026,0.056,0.072,0.189,0.306,0.054,0.255,0.000,0.009,0.017,0.029,0.033,0.123,0.313,0.293,0.086,0.097,unknown,unknown,unknown,unknown,Mitochondrion,0.975,Mitochondrion,Mitochondrion,N,,,,,,,,,
B2RUR8,OTU7B_MOUSE,OTU domain-containing protein 7B OS=Mus musculus GN=Otud7b PE=1 SV=1 - [OTU7B_MOUSE],1,2,1,2,0.178,0.253,0.193,0.070,0.082,0.034,0.034,0.058,0.032,0.065,0.127,0.230,0.097,0.168,0.149,0.111,0.044,0.000,0.000,0.073,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.294,unclassified,unclassified,N,,,,,,,,,
B2RWS6,EP300_MOUSE,Histone acetyltransferase p300 OS=Mus musculus GN=Ep300 PE=1 SV=1 - [EP300_MOUSE],1,4,1,4,0.507,0.000,0.066,0.000,0.071,0.067,0.049,0.070,0.135,0.037,0.159,0.022,0.027,0.009,0.033,0.039,0.054,0.038,0.409,0.211,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.368,unclassified,unclassified,N,,,,,,,,Prey,
B9EKI3,TMF1_MOUSE,TATA element modulatory factor OS=Mus musculus GN=Tmf1 PE=1 SV=2 - [TMF1_MOUSE],1,17,1,18,0.000,0.043,0.000,0.000,0.106,0.078,0.078,0.403,0.000,0.293,0.009,0.025,0.058,0.114,0.183,0.301,0.157,0.110,0.013,0.029,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.246,unclassified,unclassified,N,,,,,,,,,
D3YZP9,CCDC6_MOUSE,Coiled-coil domain-containing protein 6 OS=Mus musculus GN=Ccdc6 PE=3 SV=1 - [CCDC6_MOUSE],1,5,1,5,0.474,0.151,0.137,0.041,0.051,0.041,0.026,0.032,0.019,0.028,0.432,0.079,0.114,0.095,0.068,0.070,0.034,0.029,0.023,0.055,unknown,unknown,unknown,unknown,Cytosol,0.807,unclassified,Cytosol,N,,,,,,,,,
D3Z7P3-2,GLSK_MOUSE,"Isoform 2 of Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls - [GLSK_MOUSE]",1,1,1,1,0.000,0.000,0.000,0.022,0.019,0.048,0.194,0.431,0.000,0.287,0.140,0.048,0.063,0.033,0.047,0.092,0.218,0.215,0.048,0.097,unknown,unknown,unknown,unknown,Mitochondrion,0.643,unclassified,Mitochondrion,N,,,,,,,,,
E9PV87,TALD3_MOUSE,Protein TALPID3 OS=Mus musculus GN=Talpid3 PE=2 SV=1 - [TALD3_MOUSE],1,1,1,1,0.275,0.227,0.000,0.000,0.000,0.078,0.103,0.102,0.088,0.128,0.124,0.071,0.084,0.087,0.073,0.100,0.091,0.110,0.107,0.152,unknown,unknown,unknown,unknown,Mitochondrion,0.134,unclassified,unclassified,N,,,,,,,,,
F7BWT7-2,TSN15_MOUSE,Isoform 2 of Tetraspanin-15 OS=Mus musculus GN=Tspan15 - [TSN15_MOUSE],1,2,1,5,0.186,0.199,0.133,0.119,0.214,0.148,0.000,0.000,0.000,0.000,0.003,0.190,0.128,0.144,0.225,0.161,0.106,0.030,0.008,0.005,unknown,unknown,unknown,unknown,Plasma membrane,0.597,unclassified,unclassified,Y,,,,,,,,,
O08599,STXB1_MOUSE,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2 - [STXB1_MOUSE],1,9,1,11,0.013,0.321,0.194,0.105,0.091,0.089,0.024,0.058,0.048,0.056,0.019,0.153,0.155,0.188,0.158,0.154,0.067,0.046,0.017,0.042,unknown,unknown,unknown,unknown,Plasma membrane,0.649,unclassified,Plasma membrane,N,,,,,,,,,
O08601,MTP_MOUSE,Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp PE=2 SV=2 - [MTP_MOUSE],1,1,1,1,0.014,0.071,0.123,0.069,0.129,0.294,0.136,0.077,0.000,0.087,0.058,0.068,0.090,0.082,0.185,0.140,0.166,0.078,0.080,0.053,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.528,unclassified,unclassified,N,,,,,,,,,
O08740,RPB11_MOUSE,DNA-directed RNA polymerase II subunit RPB11 OS=Mus musculus GN=Polr2j PE=2 SV=1 - [RPB11_MOUSE],1,2,1,2,0.200,0.082,0.039,0.019,0.018,0.043,0.078,0.112,0.282,0.127,0.145,0.042,0.023,0.037,0.072,0.042,0.142,0.064,0.238,0.196,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.641,unclassified,Nucleus - Non-chromatin,N,,,,,,,,,
O08789,MNT_MOUSE,Max-binding protein MNT OS=Mus musculus GN=Mnt PE=2 SV=2 - [MNT_MOUSE],1,1,1,1,0.022,0.000,0.000,0.000,0.000,0.014,0.051,0.352,0.217,0.344,0.037,0.009,0.013,0.016,0.016,0.041,0.098,0.225,0.454,0.089,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.867,unclassified,Nucleus - Chromatin,N,,,,,,,,,
O08919,NUMBL_MOUSE,Numb-like protein OS=Mus musculus GN=Numbl PE=1 SV=3 - [NUMBL_MOUSE],1,4,1,4,0.088,0.245,0.165,0.076,0.061,0.130,0.104,0.031,0.040,0.060,0.060,0.105,0.109,0.116,0.114,0.183,0.139,0.055,0.048,0.070,unknown,unknown,unknown,unknown,Plasma membrane,0.206,unclassified,unclassified,Y,Vesicles - Clathrin,,,,,,,,
O09044;P60879,SNP23_MOUSE,Synaptosomal-associated protein 23 OS=Mus musculus GN=Snap23 PE=1 SV=1 - [SNP23_MOUSE]|Synaptosomal-associated protein 25 OS=Mus musculus GN=Snap25 PE=1 SV=1 - [SNP25_MOUSE],1,1,1,1,0.000,0.106,0.106,0.210,0.309,0.212,0.039,0.000,0.018,0.000,0.003,0.194,0.157,0.206,0.176,0.183,0.049,0.025,0.007,0.000,unknown,unknown,unknown,unknown,Lysosome,0.232,unclassified,unclassified,N,,,,,,,,,
O35083,PLCA_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus GN=Agpat1 PE=2 SV=1 - [PLCA_MOUSE],1,4,1,5,0.041,0.028,0.046,0.041,0.171,0.201,0.107,0.150,0.061,0.154,0.007,0.073,0.082,0.162,0.224,0.187,0.169,0.073,0.000,0.023,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.898,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
O35144,TERF2_MOUSE,Telomeric repeat-binding factor 2 OS=Mus musculus GN=Terf2 PE=1 SV=3 - [TERF2_MOUSE],1,1,1,1,0.018,0.000,0.000,0.000,0.008,0.036,0.060,0.353,0.193,0.333,0.060,0.000,0.017,0.000,0.000,0.058,0.076,0.227,0.429,0.132,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.866,unclassified,Nucleus - Chromatin,N,,,,,,,,,
O35216,CENPA_MOUSE,Histone H3-like centromeric protein A OS=Mus musculus GN=Cenpa PE=2 SV=1 - [CENPA_MOUSE],1,1,1,1,0.093,0.050,0.046,0.038,0.085,0.077,0.064,0.218,0.091,0.239,0.166,0.000,0.078,0.031,0.039,0.025,0.126,0.087,0.318,0.130,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.268,unclassified,unclassified,N,,,,,,,,,
O35350,CAN1_MOUSE,Calpain-1 catalytic subunit OS=Mus musculus GN=Capn1 PE=2 SV=1 - [CAN1_MOUSE],1,3,1,4,0.382,0.314,0.181,0.047,0.040,0.036,0.000,0.000,0.000,0.000,0.541,0.048,0.109,0.081,0.057,0.049,0.044,0.024,0.020,0.026,unknown,unknown,unknown,unknown,Cytosol,0.502,unclassified,unclassified,N,,,,,,,,,
O35465-2,FKBP8_MOUSE,Isoform 2 of Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Mus musculus GN=Fkbp8 - [FKBP8_MOUSE],1,1,1,1,0.000,0.024,0.084,0.047,0.145,0.126,0.109,0.283,0.011,0.171,0.007,0.040,0.052,0.084,0.122,0.161,0.262,0.158,0.044,0.069,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.451,unclassified,unclassified,N,,,,,,,,,
O35516,NOTC2_MOUSE,Neurogenic locus notch homolog protein 2 OS=Mus musculus GN=Notch2 PE=1 SV=1 - [NOTC2_MOUSE],1,4,1,6,0.000,0.234,0.146,0.124,0.174,0.141,0.072,0.061,0.000,0.049,0.017,0.149,0.107,0.146,0.203,0.200,0.119,0.038,0.015,0.006,unknown,unknown,unknown,unknown,Plasma membrane,0.705,unclassified,Plasma membrane,N,,,,,Notch,,,,
O35551-6,RABE1_MOUSE,Isoform 6 of Rab GTPase-binding effector protein 1 OS=Mus musculus GN=Rabep1 - [RABE1_MOUSE],1,4,1,5,0.175,0.056,0.058,0.030,0.052,0.082,0.074,0.161,0.085,0.227,0.194,0.095,0.111,0.063,0.122,0.106,0.122,0.062,0.060,0.067,unknown,unknown,unknown,unknown,60S Ribosome,0.225,unclassified,unclassified,N,,,,,,,,,
O35632,HYAL2_MOUSE,Hyaluronidase-2 OS=Mus musculus GN=Hyal2 PE=1 SV=2 - [HYAL2_MOUSE],1,2,1,2,0.082,0.138,0.138,0.105,0.157,0.079,0.049,0.059,0.120,0.073,0.031,0.182,0.128,0.130,0.151,0.140,0.115,0.056,0.039,0.030,unknown,unknown,unknown,unknown,Plasma membrane,0.256,unclassified,unclassified,N,,,,,,,,,
O54785-3,LIMK2_MOUSE,Isoform 3 of LIM domain kinase 2 OS=Mus musculus GN=Limk2 - [LIMK2_MOUSE],1,2,1,2,0.138,0.071,0.064,0.000,0.061,0.066,0.067,0.217,0.035,0.281,0.105,0.081,0.070,0.061,0.094,0.108,0.155,0.077,0.119,0.130,unknown,unknown,unknown,unknown,60S Ribosome,0.255,unclassified,unclassified,N,,,,,,,,,
O54790,MAFG_MOUSE,Transcription factor MafG OS=Mus musculus GN=Mafg PE=1 SV=1 - [MAFG_MOUSE],1,2,1,2,0.023,0.009,0.016,0.000,0.008,0.017,0.048,0.361,0.239,0.279,0.023,0.021,0.019,0.020,0.021,0.048,0.094,0.231,0.435,0.088,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.888,unclassified,Nucleus - Chromatin,N,,,,,,,,,
O54890,ITB3_MOUSE,Integrin beta-3 OS=Mus musculus GN=Itgb3 PE=1 SV=2 - [ITB3_MOUSE],1,1,1,1,0.000,0.450,0.155,0.124,0.155,0.073,0.010,0.019,0.000,0.014,0.147,0.126,0.198,0.190,0.159,0.126,0.028,0.013,0.000,0.014,unknown,unknown,unknown,unknown,Plasma membrane,0.366,unclassified,unclassified,N,,,,,,,,,
O54918,B2L11_MOUSE,Bcl-2-like protein 11 OS=Mus musculus GN=Bcl2l11 PE=1 SV=1 - [B2L11_MOUSE],1,1,1,1,0.000,0.000,0.044,0.000,0.133,0.122,0.075,0.358,0.000,0.267,0.000,0.043,0.050,0.047,0.086,0.125,0.352,0.164,0.039,0.095,unknown,unknown,unknown,unknown,Peroxisome,0.342,unclassified,unclassified,N,,,,,,,,,
O54956,DPOE2_MOUSE,DNA polymerase epsilon subunit 2 OS=Mus musculus GN=Pole2 PE=2 SV=2 - [DPOE2_MOUSE],1,2,1,2,0.181,0.009,0.025,0.000,0.011,0.036,0.078,0.150,0.275,0.237,0.179,0.046,0.047,0.033,0.043,0.032,0.088,0.140,0.286,0.107,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.458,unclassified,unclassified,N,,,,,,,,,
O54965,RNF13_MOUSE,E3 ubiquitin-protein ligase RNF13 OS=Mus musculus GN=Rnf13 PE=1 SV=2 - [RNF13_MOUSE],1,2,1,3,0.000,0.158,0.169,0.136,0.218,0.188,0.132,0.000,0.000,0.000,0.000,0.091,0.169,0.248,0.248,0.176,0.048,0.020,0.000,0.000,unknown,unknown,unknown,unknown,Lysosome,0.474,unclassified,unclassified,N,,,,,,,,,
O54990-4,PROM1_MOUSE,Isoform 4 of Prominin-1 OS=Mus musculus GN=Prom1 - [PROM1_MOUSE],1,4,1,5,0.028,0.171,0.142,0.172,0.264,0.084,0.029,0.070,0.000,0.039,0.000,0.115,0.178,0.246,0.236,0.148,0.060,0.015,0.000,0.003,unknown,unknown,unknown,unknown,Lysosome,0.333,unclassified,unclassified,N,,,,,,,,,
O55003,BNIP3_MOUSE,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Mus musculus GN=Bnip3 PE=1 SV=1 - [BNIP3_MOUSE],1,2,1,2,0.000,0.013,0.016,0.025,0.068,0.085,0.141,0.374,0.020,0.259,0.001,0.021,0.039,0.052,0.069,0.167,0.281,0.248,0.039,0.084,unknown,unknown,unknown,unknown,Peroxisome,0.509,Peroxisome,unclassified,N,,,,,,,,,
O55186,CD59A_MOUSE,CD59A glycoprotein OS=Mus musculus GN=Cd59a PE=2 SV=1 - [CD59A_MOUSE],1,2,1,3,0.000,0.372,0.264,0.120,0.121,0.067,0.029,0.011,0.005,0.011,0.000,0.185,0.191,0.184,0.187,0.137,0.062,0.027,0.022,0.004,unknown,unknown,unknown,unknown,Plasma membrane,0.744,unclassified,Plasma membrane,N,,,,,,,,,High Confidence
O70274,TP4A2_MOUSE,Protein tyrosine phosphatase type IVA 2 OS=Mus musculus GN=Ptp4a2 PE=1 SV=1 - [TP4A2_MOUSE],1,2,1,5,0.000,0.151,0.093,0.117,0.122,0.229,0.188,0.059,0.014,0.028,0.005,0.135,0.128,0.116,0.179,0.231,0.121,0.055,0.013,0.018,unknown,unknown,unknown,unknown,Endosome,0.231,unclassified,unclassified,N,,,,,,,,,
O70279,DGC14_MOUSE,Protein DGCR14 OS=Mus musculus GN=Dgcr14 PE=2 SV=2 - [DGC14_MOUSE],1,1,1,1,0.242,0.105,0.072,0.045,0.036,0.057,0.090,0.103,0.086,0.163,0.166,0.035,0.041,0.036,0.036,0.051,0.046,0.054,0.223,0.312,unknown,unknown,unknown,unknown,40S Ribosome,0.426,unclassified,unclassified,N,,,,,,,,,
O70546,KDM6A_MOUSE,Lysine-specific demethylase 6A OS=Mus musculus GN=Kdm6a PE=1 SV=2 - [KDM6A_MOUSE],1,5,1,5,0.054,0.000,0.000,0.000,0.000,0.041,0.128,0.244,0.320,0.214,0.094,0.022,0.029,0.030,0.026,0.046,0.085,0.149,0.362,0.157,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.771,unclassified,Nucleus - Chromatin,N,,,,,,,,,
O70622-2,RTN2_MOUSE,Isoform 2 of Reticulon-2 OS=Mus musculus GN=Rtn2 - [RTN2_MOUSE],1,1,1,1,0.000,0.107,0.129,0.000,0.166,0.351,0.000,0.178,0.000,0.069,0.000,0.030,0.044,0.190,0.329,0.187,0.172,0.028,0.000,0.019,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.297,unclassified,unclassified,N,,,,,,,,,
O88561,S27A3_MOUSE,Long-chain fatty acid transport protein 3 OS=Mus musculus GN=Slc27a3 PE=1 SV=2 - [S27A3_MOUSE],1,2,1,2,0.000,0.049,0.000,0.094,0.063,0.144,0.107,0.267,0.000,0.276,0.003,0.050,0.093,0.141,0.182,0.240,0.120,0.095,0.049,0.028,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.537,unclassified,unclassified,N,,,,,,,,,
O88569,ROA2_MOUSE,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2 - [ROA2_MOUSE],1,1,1,1,0.044,0.000,0.000,0.000,0.027,0.000,0.028,0.069,0.638,0.193,0.060,0.000,0.011,0.000,0.009,0.000,0.022,0.018,0.598,0.282,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.427,unclassified,unclassified,N,,,,,,,,,
O88597,BECN1_MOUSE,Beclin-1 OS=Mus musculus GN=Becn1 PE=1 SV=3 - [BECN1_MOUSE],1,3,1,3,0.071,0.098,0.167,0.155,0.317,0.119,0.027,0.032,0.000,0.014,0.090,0.099,0.099,0.142,0.236,0.086,0.070,0.030,0.018,0.130,unknown,unknown,unknown,unknown,Lysosome,0.328,unclassified,unclassified,N,,,,,,,,,
O88643,PAK1_MOUSE,Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1 - [PAK1_MOUSE],1,3,1,3,0.367,0.122,0.109,0.078,0.092,0.044,0.013,0.094,0.013,0.068,0.266,0.151,0.108,0.116,0.114,0.073,0.055,0.036,0.034,0.046,unknown,unknown,unknown,unknown,Cytosol,0.463,unclassified,unclassified,N,,,,,,,,,
O88735,MAP7_MOUSE,Ensconsin OS=Mus musculus GN=Map7 PE=1 SV=1 - [MAP7_MOUSE],1,6,1,7,0.416,0.162,0.110,0.032,0.080,0.060,0.022,0.024,0.026,0.068,0.193,0.090,0.119,0.089,0.098,0.091,0.064,0.052,0.077,0.128,unknown,unknown,unknown,unknown,Cytosol,0.318,unclassified,unclassified,N,,,,,,,,,
O88736,DHB7_MOUSE,3-keto-steroid reductase OS=Mus musculus GN=Hsd17b7 PE=2 SV=1 - [DHB7_MOUSE],1,2,1,2,0.000,0.052,0.102,0.029,0.034,0.099,0.059,0.310,0.000,0.315,0.000,0.059,0.106,0.140,0.186,0.261,0.111,0.111,0.005,0.021,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.351,unclassified,unclassified,N,,,,,,,,,
O88839-3,ADA15_MOUSE,Isoform 3 of Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus GN=Adam15 - [ADA15_MOUSE],1,2,1,2,0.305,0.079,0.115,0.000,0.309,0.120,0.000,0.072,0.000,0.000,0.007,0.107,0.130,0.165,0.147,0.158,0.138,0.055,0.046,0.047,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.182,unclassified,unclassified,N,,,,,,,,,
O88845,AKA10_MOUSE,"A-kinase anchor protein 10, mitochondrial OS=Mus musculus GN=Akap10 PE=1 SV=3 - [AKA10_MOUSE]",1,2,1,2,0.096,0.015,0.018,0.044,0.112,0.095,0.126,0.206,0.065,0.223,0.062,0.061,0.103,0.109,0.171,0.188,0.075,0.088,0.051,0.091,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.482,unclassified,unclassified,N,,,,,,,,,
O88851,RBBP9_MOUSE,Putative hydrolase RBBP9 OS=Mus musculus GN=Rbbp9 PE=1 SV=2 - [RBBP9_MOUSE],1,2,1,2,0.587,0.110,0.131,0.044,0.063,0.041,0.000,0.013,0.000,0.011,0.481,0.095,0.110,0.077,0.105,0.047,0.050,0.022,0.002,0.011,unknown,unknown,unknown,unknown,Cytosol,0.794,unclassified,Cytosol,N,,,,,,,,,
O88874,CCNK_MOUSE,Cyclin-K OS=Mus musculus GN=Ccnk PE=1 SV=3 - [CCNK_MOUSE],1,1,1,2,0.320,0.034,0.063,0.013,0.032,0.046,0.040,0.035,0.330,0.088,0.274,0.018,0.037,0.023,0.028,0.041,0.033,0.028,0.260,0.258,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.785,unclassified,Nucleus - Non-chromatin,N,,,,,,,,,
O88990,ACTN3_MOUSE,Alpha-actinin-3 OS=Mus musculus GN=Actn3 PE=2 SV=1 - [ACTN3_MOUSE],1,1,1,1,0.201,0.314,0.195,0.115,0.132,0.043,0.000,0.000,0.000,0.000,0.178,0.075,0.226,0.139,0.185,0.165,0.033,0.000,0.000,0.000,unknown,unknown,unknown,unknown,Plasma membrane,0.154,unclassified,unclassified,N,,,,,,,,,
O89026,ROBO1_MOUSE,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1 - [ROBO1_MOUSE],1,4,1,4,0.018,0.209,0.142,0.120,0.208,0.132,0.021,0.074,0.020,0.055,0.005,0.207,0.160,0.188,0.165,0.131,0.107,0.033,0.000,0.004,unknown,unknown,unknown,unknown,Plasma membrane,0.757,unclassified,Plasma membrane,Y,,,,,,,,,
O89116,VTI1A_MOUSE,Vesicle transport through interaction with t-SNAREs homolog 1A OS=Mus musculus GN=Vti1a PE=1 SV=1 - [VTI1A_MOUSE],1,4,1,4,0.077,0.053,0.087,0.115,0.354,0.182,0.050,0.037,0.018,0.027,0.031,0.055,0.086,0.145,0.268,0.226,0.091,0.041,0.033,0.024,unknown,unknown,unknown,unknown,Endosome,0.681,Endosome,Endosome,N,,,,,,,,,
P00158,CYB_MOUSE,Cytochrome b OS=Mus musculus GN=Mt-Cyb PE=2 SV=1 - [CYB_MOUSE],1,1,1,1,0.004,0.016,0.017,0.015,0.033,0.058,0.194,0.361,0.051,0.252,0.003,0.020,0.015,0.018,0.029,0.075,0.436,0.235,0.046,0.123,unknown,unknown,unknown,unknown,Mitochondrion,0.977,Mitochondrion,Mitochondrion,N,,,,,,,,,
P00397,COX1_MOUSE,Cytochrome c oxidase subunit 1 OS=Mus musculus GN=Mtco1 PE=3 SV=1 - [COX1_MOUSE],1,1,1,1,0.061,0.013,0.010,0.000,0.040,0.101,0.373,0.184,0.045,0.174,0.000,0.004,0.011,0.020,0.026,0.103,0.375,0.209,0.114,0.138,unknown,unknown,unknown,unknown,Mitochondrion,0.932,unclassified,Mitochondrion,N,,,,,,,,,
P00416,COX3_MOUSE,Cytochrome c oxidase subunit 3 OS=Mus musculus GN=Mtco3 PE=3 SV=1 - [COX3_MOUSE],1,1,1,1,0.000,0.030,0.000,0.000,0.000,0.029,0.221,0.389,0.054,0.277,0.009,0.015,0.028,0.000,0.016,0.050,0.237,0.367,0.161,0.117,unknown,unknown,unknown,unknown,Mitochondrion,0.807,unclassified,Mitochondrion,N,,,,,,,,,
P01831,THY1_MOUSE,Thy-1 membrane glycoprotein OS=Mus musculus GN=Thy1 PE=1 SV=1 - [THY1_MOUSE],1,2,1,3,0.012,0.347,0.225,0.134,0.093,0.102,0.026,0.023,0.019,0.018,0.004,0.185,0.166,0.199,0.207,0.116,0.071,0.022,0.025,0.005,unknown,unknown,unknown,unknown,Plasma membrane,0.794,unclassified,Plasma membrane,N,,,,,,,,,
P02340,P53_MOUSE,Cellular tumor antigen p53 OS=Mus musculus GN=Tp53 PE=1 SV=3 - [P53_MOUSE],1,2,1,2,0.051,0.011,0.009,0.005,0.012,0.054,0.149,0.264,0.208,0.239,0.064,0.027,0.031,0.016,0.033,0.042,0.123,0.178,0.377,0.109,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.898,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
P03899,NU3M_MOUSE,NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus GN=Mtnd3 PE=3 SV=3 - [NU3M_MOUSE],1,1,1,2,0.005,0.010,0.010,0.008,0.038,0.072,0.203,0.303,0.081,0.270,0.037,0.016,0.029,0.019,0.037,0.068,0.380,0.213,0.078,0.124,unknown,unknown,unknown,unknown,Mitochondrion,0.979,Mitochondrion,Mitochondrion,N,,,,,,,,,High Confidence
P03958,ADA_MOUSE,Adenosine deaminase OS=Mus musculus GN=Ada PE=1 SV=3 - [ADA_MOUSE],1,3,1,3,0.357,0.081,0.077,0.039,0.079,0.046,0.032,0.169,0.000,0.120,0.272,0.140,0.139,0.124,0.154,0.073,0.057,0.020,0.006,0.014,unknown,unknown,unknown,unknown,Cytosol,0.273,unclassified,unclassified,N,,,,,,,,,
P04370-2,MBP_MOUSE,Isoform 2 of Myelin basic protein OS=Mus musculus GN=Mbp - [MBP_MOUSE],1,1,1,1,0.002,0.022,0.030,0.022,0.030,0.022,0.019,0.000,0.835,0.017,0.000,0.250,0.162,0.208,0.127,0.213,0.040,0.000,0.000,0.000,unknown,unknown,unknown,unknown,Mitochondrion,0.138,unclassified,unclassified,N,,,,,,,,,
P08071,TRFL_MOUSE,Lactotransferrin OS=Mus musculus GN=Ltf PE=2 SV=4 - [TRFL_MOUSE],1,1,1,1,0.014,0.024,0.130,0.084,0.271,0.087,0.122,0.140,0.016,0.111,0.000,0.014,0.093,0.223,0.341,0.235,0.072,0.014,0.000,0.008,unknown,unknown,unknown,unknown,Endosome,0.214,unclassified,unclassified,N,,,,,,,,,
P09036,ISK3_MOUSE,Serine protease inhibitor Kazal-type 3 OS=Mus musculus GN=Spink3 PE=1 SV=1 - [ISK3_MOUSE],1,1,1,1,0.069,0.059,0.122,0.073,0.201,0.161,0.064,0.110,0.054,0.088,0.062,0.065,0.119,0.141,0.206,0.165,0.126,0.054,0.026,0.037,unknown,unknown,unknown,unknown,Extracellular matrix,0.499,Extracellular matrix,Extracellular matrix,N,,,,,,,,,
P09041,PGK2_MOUSE,Phosphoglycerate kinase 2 OS=Mus musculus GN=Pgk2 PE=1 SV=4 - [PGK2_MOUSE],1,1,1,1,0.452,0.103,0.290,0.029,0.104,0.000,0.000,0.000,0.000,0.022,0.652,0.032,0.109,0.096,0.052,0.043,0.007,0.000,0.010,0.000,unknown,unknown,unknown,unknown,Cytosol,0.205,unclassified,unclassified,Y,,,,,,,,,
P0C7N9,PSMG4_MOUSE,Proteasome assembly chaperone 4 OS=Mus musculus GN=Psmg4 PE=1 SV=1 - [PSMG4_MOUSE],1,1,1,1,0.438,0.138,0.120,0.052,0.051,0.067,0.059,0.038,0.010,0.028,0.458,0.090,0.114,0.078,0.084,0.055,0.037,0.021,0.031,0.033,unknown,unknown,unknown,unknown,Cytosol,0.815,unclassified,Cytosol,Y,,,,,,,,,
P0C8B4,CN142_MOUSE,Uncharacterized protein C14orf142 homolog OS=Mus musculus PE=4 SV=1 - [CN142_MOUSE],1,1,1,1,0.748,0.063,0.138,0.025,0.015,0.011,0.000,0.000,0.000,0.000,0.725,0.041,0.092,0.042,0.044,0.027,0.006,0.003,0.013,0.007,unknown,unknown,unknown,unknown,Cytosol,0.247,unclassified,unclassified,Y,,,,,,,,,
P10107,ANXA1_MOUSE,Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2 - [ANXA1_MOUSE],1,1,1,1,0.185,0.082,0.045,0.053,0.041,0.038,0.073,0.182,0.129,0.173,0.344,0.071,0.112,0.106,0.079,0.086,0.053,0.047,0.077,0.024,unknown,unknown,unknown,unknown,Cytosol,0.132,unclassified,unclassified,N,,,,,,,,,
